|p_url|target|comment_author|comment
173|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|valeriveros_09|['#emeryesy']
174|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|valentinavella__15|['#emeryesy']
175|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|david_celemin|['#emeryesy']
176|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|diegolopez.9117|['@santi.catam @sarasofia_pl10 @david_celemin @danielmesa03 @thisispa4.u @valeriveros_09 @vale_plazas1013 @val.cortes07\nComenten #emeryesy es para mi primito']
177|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|diegolopez.9117|['@angelicamesaa @valentinavella__15 @mapu_quijano @mari__abril @mari__abril @laura_sofiagr\nPor fa comenten #emeryesy es para mi primito']
178|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|diegolopez.9117|['#emeryesy']
179|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|gsdiegoalejandro|['#EmerAna']
180|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|sergio.ramirez.c|['#EmerAna']
181|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|diego.052896|['#EmerAna']
182|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|phillipp__white1|['#EmerAna']
183|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|_sgggorf_|['#EmerAna']
184|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|sebastian_zea12|['#EmerAna']
185|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|dagort7u7|['#EmerAna']
186|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|camilo_butters|['#emerana']
187|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|sebastia_acga|['#Emerana']
188|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|juanmp0708|['#EmerAna']
189|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|futterwacken._|['#EmerAna']
190|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|nachowithahoodie|['#emerana']
191|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|futterwacken._|['#emerana']
192|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|farleyespinosa|['#emerana']
193|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|miguelodelgado|['#Emerana']
194|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|____cortes___|['#EmerAna']
195|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|giovacastro|['#EmerYesy']
196|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|giovacastro|['#EmerYesy #EmerYesy #EmerYesy #EmerYesy #EmerYesy #EmerYesy']
197|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|giovacastro|['#EmerYesy 🥰']
198|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|r4sk_7|['#EmerAna']
199|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|josemahurt1014|['#emerana']
200|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|milagros_silguero|['#EmerAna']
201|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|elpepe2419|['Patas #emer']
202|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|monteith8820|['#EmerAna 🙌']
203|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|el_nel_21|['#EmerAna']
204|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|jumasilvah|['#EmerAna']
205|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|_camilo_xj|['#EmerAna']
206|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|cardona_s30|['#emerana']
207|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|ivan.correa.a|['#emerAna']
208|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|npr_porras|['#EmerAna']
209|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|_boomcher_|['#EmerAna']
210|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|arturodiego27|['#EmerAna']
211|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|martinserna._|['#EmerAna']
212|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|keyda_devil_hunter|['#EmerAna']
213|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|camigtzero|['#EmerAna']
